GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
92092	1.88e-01	6.42e-02	0.1985	-1.850909	-0.3674691	175.83	ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like
100506144	1.88e-01	6.42e-02	0.1676	-1.8506941	-0.3102187	252.85	TMEM35B	transmembrane protein 35B
10489	1.88e-01	6.43e-02	0.085	1.8503298	0.1572428	1482	LRRC41	leucine rich repeat containing 41
4326	1.88e-01	6.43e-02	0.3171	1.8504157	0.5867987	78.07	MMP17	matrix metallopeptidase 17
283537	1.88e-01	6.43e-02	0.1472	-1.8504382	-0.2723173	370.97	SLC46A3	solute carrier family 46 member 3
101730217	1.88e-01	6.43e-02	0.0872	1.8503257	0.1613811	1182.7	SPECC1L-ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)
29079	1.88e-01	6.43e-02	0.0927	1.8500594	0.1715206	1066.08	MED4	mediator complex subunit 4
55361	1.88e-01	6.44e-02	0.1008	1.8496047	0.1864599	856.62	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
80063	1.88e-01	6.44e-02	0.125	1.8496919	0.2311843	507.4	ATF7IP2	activating transcription factor 7 interacting protein 2
4140	1.88e-01	6.44e-02	0.0651	1.84943	0.1203513	3108.81	MARK3	microtubule affinity regulating kinase 3
25898	1.88e-01	6.45e-02	0.1068	1.8488561	0.1975223	790.27	RCHY1	ring finger and CHY zinc finger domain containing 1
995	1.88e-01	6.45e-02	0.1255	-1.8487804	-0.2319461	482.19	CDC25C	cell division cycle 25C
55353	1.88e-01	6.46e-02	0.0597	1.848128	0.1102717	6340.92	LAPTM4B	lysosomal protein transmembrane 4 beta
23048	1.88e-01	6.46e-02	0.0782	-1.8482106	-0.144529	1618.73	FNBP1	formin binding protein 1
2548	1.88e-01	6.46e-02	0.1018	-1.848299	-0.1880964	1459.3	GAA	alpha glucosidase
10849	1.88e-01	6.46e-02	0.1201	1.8481009	0.22189	595.88	POLR1G	RNA polymerase I subunit G
4148	1.88e-01	6.46e-02	0.2485	1.8477708	0.4591689	114.06	MATN3	matrilin 3
11333	1.88e-01	6.46e-02	0.0615	1.8477532	0.1137103	4456.06	PDAP1	PDGFA associated protein 1
9219	1.88e-01	6.46e-02	0.0567	1.847906	0.1048254	5923.07	MTA2	metastasis associated 1 family member 2
5106	1.88e-01	6.47e-02	0.0647	1.8476185	0.1195905	4552.49	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
63893	1.88e-01	6.47e-02	0.0892	-1.8475867	-0.1647784	1171.25	UBE2O	ubiquitin conjugating enzyme E2 O
29	1.88e-01	6.47e-02	0.0761	-1.8474483	-0.1405999	2498.73	ABR	ABR activator of RhoGEF and GTPase
148867	1.89e-01	6.49e-02	0.1142	1.8460538	0.2107912	619.62	SLC30A7	solute carrier family 30 member 7
84317	1.89e-01	6.48e-02	0.1137	-1.8464592	-0.2099937	626.6	CCDC115	coiled-coil domain containing 115
9319	1.89e-01	6.49e-02	0.0808	-1.8458078	-0.1491663	1486.61	TRIP13	thyroid hormone receptor interactor 13
55335	1.89e-01	6.49e-02	0.2858	-1.8457995	-0.5274888	84.25	NIPSNAP3B	nipsnap homolog 3B
105369618	1.89e-01	6.49e-02	0.4524	-1.8457904	-0.8350976	32.97	LOC105369618	uncharacterized LOC105369618
53346	1.89e-01	6.48e-02	0.149	-1.8463691	-0.2751704	334.31	TM6SF1	transmembrane 6 superfamily member 1
57513	1.89e-01	6.49e-02	0.1021	1.8459127	0.1885487	891.83	CASKIN2	CASK interacting protein 2
8725	1.89e-01	6.48e-02	0.0634	1.846319	0.1171333	3750.62	URI1	URI1 prefoldin like chaperone
53635	1.89e-01	6.49e-02	0.1053	-1.8459578	-0.1943802	1004.61	PTOV1	PTOV1 extended AT-hook containing adaptor protein
387787	1.89e-01	6.50e-02	0.2358	-1.8451879	-0.4350154	135.51	LIPT2	lipoyl(octanoyl) transferase 2
5001	1.89e-01	6.50e-02	0.0897	1.8449561	0.1654781	1414.99	ORC5	origin recognition complex subunit 5
256364	1.89e-01	6.51e-02	0.0925	1.8448931	0.1705903	1049.66	EML3	EMAP like 3
29887	1.89e-01	6.51e-02	0.0943	-1.8443898	-0.1739966	1169.81	SNX10	sorting nexin 10
7264	1.89e-01	6.53e-02	0.1013	1.8433843	0.1866796	1009.43	GFUS	GDP-L-fucose synthase
27249	1.90e-01	6.54e-02	0.0658	1.8426727	0.121321	3609.08	MMADHC	metabolism of cobalamin associated D
8085	1.90e-01	6.54e-02	0.1411	-1.8424326	-0.2599786	4437.28	KMT2D	lysine methyltransferase 2D
284486	1.90e-01	6.54e-02	0.4525	-1.8422653	-0.83365	33.02	THEM5	thioesterase superfamily member 5
1983	1.90e-01	6.55e-02	0.0582	1.8421362	0.1071312	8407.49	EIF5	eukaryotic translation initiation factor 5
6811	1.90e-01	6.55e-02	0.0928	-1.8420342	-0.1709741	1063.83	STX5	syntaxin 5
645332	1.90e-01	6.56e-02	0.1784	1.8413973	0.3284999	231.11	FAM86C2P	family with sequence similarity 86, member A pseudogene
84818	1.90e-01	6.56e-02	0.1529	-1.8413	-0.2814777	359.26	IL17RC	interleukin 17 receptor C
29107	1.90e-01	6.56e-02	0.0999	1.8408876	0.1839851	828.44	NXT1	nuclear transport factor 2 like export factor 1
23087	1.90e-01	6.57e-02	0.1319	1.8403715	0.2427851	435.4	TRIM35	tripartite motif containing 35
10982	1.90e-01	6.58e-02	0.2155	-1.8400886	-0.3965587	151.95	MAPRE2	microtubule associated protein RP/EB family member 2
110599583	1.91e-01	6.60e-02	0.2837	1.8383038	0.5216003	87.09	EEF1AKMT4-ECE2	EEF1AKMT4-ECE2 readthrough
140706	1.91e-01	6.61e-02	0.3505	1.8374975	0.6440611	55.54	CCM2L	CCM2 like scaffold protein
56889	1.91e-01	6.62e-02	0.0582	1.8373659	0.1069828	8260.18	TM9SF3	transmembrane 9 superfamily member 3
54442	1.91e-01	6.62e-02	0.0859	1.837099	0.1578397	1354.46	KCTD5	potassium channel tetramerization domain containing 5
110806298	1.91e-01	6.62e-02	0.4407	-1.8370097	-0.8095606	35.59	C17orf113	chromosome 17 open reading frame 113
10458	1.91e-01	6.62e-02	0.1451	-1.8372051	-0.2666468	385.5	BAIAP2	BAR/IMD domain containing adaptor protein 2
79701	1.91e-01	6.62e-02	0.1254	-1.8370561	-0.2303409	478.27	OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
114818	1.92e-01	6.63e-02	0.3533	1.8364403	0.6487321	54.99	KLHL29	kelch like family member 29
738	1.92e-01	6.64e-02	0.1149	-1.8358324	-0.2109341	901.5	VPS51	VPS51 subunit of GARP complex
105375624	1.92e-01	6.65e-02	0.2103	-1.8350973	-0.3859958	165.21	WWP1-AS1	WWP1 antisense RNA 1
9525	1.92e-01	6.65e-02	0.0835	-1.8351741	-0.1532443	1363.69	VPS4B	vacuolar protein sorting 4 homolog B
57623	1.92e-01	6.65e-02	0.1588	-1.8348123	-0.2913299	305.22	ZFAT	zinc finger and AT-hook domain containing
58473	1.92e-01	6.66e-02	0.1277	-1.834344	-0.2341932	466.81	PLEKHB1	pleckstrin homology domain containing B1
29998	1.92e-01	6.66e-02	0.1692	-1.8343768	-0.310324	258.43	BICRA	BRD4 interacting chromatin remodeling complex associated protein
102724362	1.92e-01	6.66e-02	0.2139	-1.8341038	-0.392276	151.36	SPINT1-AS1	SPINT1 antisense RNA 1
23765	1.92e-01	6.67e-02	0.0977	-1.8339914	-0.1791737	900.14	IL17RA	interleukin 17 receptor A
9936	1.92e-01	6.67e-02	0.1853	-1.8338618	-0.3398576	203.31	CD302	CD302 molecule
6205	1.93e-01	6.67e-02	0.0564	-1.833453	-0.1033175	23118.36	RPS11	ribosomal protein S11
7917	1.93e-01	6.69e-02	0.0619	-1.8321364	-0.1133877	5389.71	BAG6	BAG cochaperone 6
55668	1.93e-01	6.69e-02	0.0763	-1.8321118	-0.1397322	1867.41	GPATCH2L	G-patch domain containing 2 like
27183	1.93e-01	6.69e-02	0.063	1.8321707	0.115447	4544.19	VPS4A	vacuolar protein sorting 4 homolog A
8567	1.93e-01	6.70e-02	0.0659	-1.8318903	-0.1208053	3940.1	MADD	MAP kinase activating death domain
653188	1.93e-01	6.70e-02	0.3303	-1.8315963	-0.6050073	63.01	GUSBP3	GUSB pseudogene 3
83637	1.93e-01	6.71e-02	0.0941	-1.8312411	-0.1723567	1496.87	ZMIZ2	zinc finger MIZ-type containing 2
144717	1.94e-01	6.72e-02	0.1951	-1.8301692	-0.357128	186.23	PHETA1	PH domain containing endocytic trafficking adaptor 1
60386	1.94e-01	6.74e-02	0.1474	1.8291054	0.2696876	373.14	SLC25A19	solute carrier family 25 member 19
91869	1.94e-01	6.74e-02	0.11	1.8289607	0.2011666	661.49	RFT1	RFT1 homolog
4152	1.94e-01	6.74e-02	0.096	1.8287325	0.1755974	925.18	MBD1	methyl-CpG binding domain protein 1
3667	1.94e-01	6.75e-02	0.0552	-1.8284823	-0.1009571	7807.35	IRS1	insulin receptor substrate 1
4086	1.94e-01	6.75e-02	0.1247	1.8283739	0.2279159	528.56	SMAD1	SMAD family member 1
220002	1.94e-01	6.75e-02	0.0995	-1.828341	-0.1819851	885.56	CYB561A3	cytochrome b561 family member A3
5693	1.94e-01	6.75e-02	0.0592	1.8284381	0.1082513	4763.27	PSMB5	proteasome 20S subunit beta 5
63875	1.94e-01	6.76e-02	0.0869	1.8279455	0.1588369	1367.41	MRPL17	mitochondrial ribosomal protein L17
3631	1.94e-01	6.76e-02	0.1021	-1.8276484	-0.1865998	1019.3	INPP4A	inositol polyphosphate-4-phosphatase type I A
101928595	1.94e-01	6.76e-02	0.2259	-1.8274017	-0.412826	133.89	YPEL3-DT	YPEL3 divergent transcript
3191	1.95e-01	6.77e-02	0.0527	-1.8272197	-0.0963495	9753.37	HNRNPL	heterogeneous nuclear ribonucleoprotein L
57415	1.95e-01	6.79e-02	0.0654	-1.8257158	-0.1193935	4452.27	C3orf14	chromosome 3 open reading frame 14
2550	1.95e-01	6.79e-02	0.2563	-1.825749	-0.4679493	112.1	GABBR1	gamma-aminobutyric acid type B receptor subunit 1
6876	1.95e-01	6.79e-02	0.1751	1.8256474	0.3197296	230.73	TAGLN	transgelin
9792	1.95e-01	6.80e-02	0.199	1.8247697	0.3632146	174.75	SERTAD2	SERTA domain containing 2
7936	1.95e-01	6.80e-02	0.0736	1.8247234	0.1342383	1998.71	NELFE	negative elongation factor complex member E
1978	1.95e-01	6.80e-02	0.0997	1.8246784	0.1818658	937.87	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
80314	1.96e-01	6.81e-02	0.0864	1.8242098	0.1575224	1261.7	EPC1	enhancer of polycomb homolog 1
6793	1.96e-01	6.82e-02	0.0993	1.8238015	0.1811745	898.68	STK10	serine/threonine kinase 10
552889	1.96e-01	6.83e-02	0.0527	-1.823054	-0.0960172	9894.57	ATXN7L3B	ataxin 7 like 3B
81579	1.96e-01	6.83e-02	0.0847	1.8227977	0.1543211	1406.51	PLA2G12A	phospholipase A2 group XIIA
6595	1.96e-01	6.84e-02	0.0675	1.8222088	0.1230299	2623.46	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
10534	1.96e-01	6.85e-02	0.1465	1.8220263	0.2669454	352.91	ZNRD2	zinc ribbon domain containing 2
1773	1.96e-01	6.84e-02	0.0924	-1.8220423	-0.1682683	1084.13	DNASE1	deoxyribonuclease 1
26278	1.97e-01	6.86e-02	0.1101	1.821111	0.2004661	709.46	SACS	sacsin molecular chaperone
84992	1.97e-01	6.87e-02	0.1063	1.8205104	0.1935319	776.59	PIGY	phosphatidylinositol glycan anchor biosynthesis class Y
100996939	1.97e-01	6.87e-02	0.1063	1.8205104	0.1935319	776.59	PYURF	PIGY upstream open reading frame
122525	1.97e-01	6.88e-02	0.1941	-1.8199783	-0.3533329	197.33	C14orf28	chromosome 14 open reading frame 28
5719	1.97e-01	6.89e-02	0.0699	1.8191011	0.1272081	2562.61	PSMD13	proteasome 26S subunit, non-ATPase 13
6119	1.97e-01	6.90e-02	0.0757	-1.8186452	-0.1377213	2168.21	RPA3	replication protein A3
23523	1.98e-01	6.91e-02	0.0768	-1.8178864	-0.1395815	1800.7	CABIN1	calcineurin binding protein 1
9897	1.98e-01	6.91e-02	0.0768	-1.8174545	-0.1394967	1948.5	WASHC5	WASH complex subunit 5
51503	1.98e-01	6.91e-02	0.0921	1.8174969	0.1673958	1035.7	CWC15	CWC15 spliceosome associated protein homolog
22979	1.98e-01	6.92e-02	0.0975	-1.8173608	-0.177264	1056.4	EFR3B	EFR3 homolog B
51382	1.98e-01	6.93e-02	0.0868	1.8167545	0.1576675	1225.82	ATP6V1D	ATPase H+ transporting V1 subunit D
113452	1.99e-01	6.94e-02	0.1508	-1.8155424	-0.2738001	439.94	TMEM54	transmembrane protein 54
1629	1.99e-01	6.94e-02	0.1104	-1.815574	-0.2004975	679.36	DBT	dihydrolipoamide branched chain transacylase E2
126626	1.99e-01	6.96e-02	0.0768	-1.8147081	-0.1393978	2025.98	GABPB2	GA binding protein transcription factor subunit beta 2
5464	1.99e-01	6.96e-02	0.0632	1.8145148	0.1145881	3496.83	PPA1	inorganic pyrophosphatase 1
7480	1.99e-01	6.97e-02	0.4339	1.8137832	0.7869832	39.92	WNT10B	Wnt family member 10B
101928707	1.99e-01	6.97e-02	0.1976	-1.8137672	-0.3583805	178.6	CD2BP2-DT	CD2BP2 divergent transcript
6173	1.99e-01	6.98e-02	0.0552	-1.813217	-0.1000428	7040.88	RPL36A	ribosomal protein L36a
54853	2.00e-01	6.99e-02	0.0797	1.8128293	0.1444574	1537.09	WDR55	WD repeat domain 55
1048	2.00e-01	6.99e-02	0.1486	-1.8127673	-0.2692917	415.67	CEACAM5	CEA cell adhesion molecule 5
7727	2.00e-01	6.99e-02	0.1315	-1.812368	-0.2383313	431.24	ZNF174	zinc finger protein 174
100134938	2.00e-01	7.00e-02	0.1807	-1.8120349	-0.3274458	227.69	UPK3BL1	uroplakin 3B like 1
79085	2.00e-01	7.01e-02	0.1026	-1.8111305	-0.1858069	866.06	SLC25A23	solute carrier family 25 member 23
100874146	2.00e-01	7.01e-02	0.4284	-1.8110186	-0.7758148	36.77	LINC00365	long intergenic non-protein coding RNA 365
26276	2.00e-01	7.02e-02	0.0995	-1.810761	-0.1801019	883.08	VPS33B	VPS33B late endosome and lysosome associated
85376	2.00e-01	7.02e-02	0.3366	-1.8106779	-0.609409	59.97	RIMBP3	RIMS binding protein 3
10724	2.00e-01	7.03e-02	0.0615	-1.8102584	-0.1114165	5015.25	OGA	O-GlcNAcase
51447	2.00e-01	7.03e-02	0.0841	-1.8100126	-0.1522513	1437.66	IP6K2	inositol hexakisphosphate kinase 2
80017	2.01e-01	7.04e-02	0.337	-1.8095971	-0.6097776	62.45	DGLUCY	D-glutamate cyclase
116064	2.01e-01	7.05e-02	0.0652	1.8089501	0.1179576	4303.68	LRRC58	leucine rich repeat containing 58
1241	2.01e-01	7.06e-02	0.1399	1.8082653	0.2530253	431.7	LTB4R	leukotriene B4 receptor
25941	2.01e-01	7.06e-02	0.0819	-1.8080982	-0.1480081	1678.77	TPGS2	tubulin polyglutamylase complex subunit 2
2762	2.01e-01	7.07e-02	0.0975	1.8072453	0.1761911	932.82	GMDS	GDP-mannose 4,6-dehydratase
80705	2.01e-01	7.07e-02	0.1875	-1.8071295	-0.3388678	198.31	TSGA10	testis specific 10
6760	2.01e-01	7.08e-02	0.0635	-1.8069874	-0.1147304	3472.27	SS18	SS18 subunit of BAF chromatin remodeling complex
5987	2.01e-01	7.08e-02	0.0765	1.8068551	0.1382798	2000.93	TRIM27	tripartite motif containing 27
990	2.01e-01	7.08e-02	0.0712	1.8067983	0.1286971	2207.6	CDC6	cell division cycle 6
10230	2.01e-01	7.08e-02	0.1802	1.8066593	0.3255583	224.42	NBR2	neighbor of BRCA1 lncRNA 2
56155	2.02e-01	7.09e-02	0.193	1.806282	0.3486498	187.3	TEX14	testis expressed 14, intercellular bridge forming factor
55758	2.02e-01	7.09e-02	0.1049	1.8060463	0.1893771	732.98	RCOR3	REST corepressor 3
221477	2.02e-01	7.09e-02	0.0632	-1.8058806	-0.1140592	3802.93	C6orf89	chromosome 6 open reading frame 89
54108	2.02e-01	7.10e-02	0.0808	-1.8051908	-0.1459291	1825.27	CHRAC1	chromatin accessibility complex subunit 1
64225	2.02e-01	7.11e-02	0.0702	1.8046039	0.1266662	3076.05	ATL2	atlastin GTPase 2
10838	2.02e-01	7.11e-02	0.1046	-1.8046795	-0.1887419	740.58	ZNF275	zinc finger protein 275
57610	2.02e-01	7.12e-02	0.095	-1.8044099	-0.1713732	1119.52	RANBP10	RAN binding protein 10
26586	2.02e-01	7.12e-02	0.0727	-1.8039826	-0.131174	2630.88	CKAP2	cytoskeleton associated protein 2
55105	2.03e-01	7.13e-02	0.07	-1.803314	-0.126223	2897.92	GPATCH2	G-patch domain containing 2
100506963	2.03e-01	7.15e-02	0.1721	1.8026067	0.3101934	238.24	ELOA-AS1	ELOA antisense RNA 1
100505549	2.03e-01	7.16e-02	0.1907	1.8014126	0.3434922	202.38	ATP8B1-AS1	ATP8B1 antisense RNA 1
53353	2.04e-01	7.17e-02	0.1921	-1.8008258	-0.3459626	190.7	LRP1B	LDL receptor related protein 1B
121260	2.04e-01	7.18e-02	0.1142	1.8005711	0.2055436	606.21	SLC15A4	solute carrier family 15 member 4
2874	2.04e-01	7.17e-02	0.0963	1.8007431	0.1734981	929.93	GPS2	G protein pathway suppressor 2
29978	2.04e-01	7.18e-02	0.0891	-1.8006476	-0.1603779	1162.07	UBQLN2	ubiquilin 2
100526693	2.04e-01	7.20e-02	0.0925	1.7990404	0.1664702	1044.36	ARPC4-TTLL3	ARPC4-TTLL3 readthrough
8727	2.04e-01	7.20e-02	0.0794	1.7988603	0.142821	1722.09	CTNNAL1	catenin alpha like 1
54838	2.04e-01	7.20e-02	0.0813	-1.7988211	-0.1462177	1499.88	WBP1L	WW domain binding protein 1 like
29108	2.05e-01	7.22e-02	0.2114	-1.7977517	-0.3800079	173.44	PYCARD	PYD and CARD domain containing
3998	2.05e-01	7.23e-02	0.0746	-1.7973573	-0.134024	2883.58	LMAN1	lectin, mannose binding 1
55274	2.05e-01	7.23e-02	0.0816	-1.7969576	-0.146667	1599.16	PHF10	PHD finger protein 10
9401	2.05e-01	7.23e-02	0.1118	-1.7970808	-0.200928	894.92	RECQL4	RecQ like helicase 4
55088	2.05e-01	7.23e-02	0.0809	-1.7969965	-0.1453726	1558.77	CCDC186	coiled-coil domain containing 186
79867	2.05e-01	7.23e-02	0.1619	-1.7969568	-0.2909975	310.38	TCTN2	tectonic family member 2
131965	2.05e-01	7.24e-02	0.0896	1.7967259	0.1609696	1226.6	METTL6	methyltransferase 6, methylcytidine
80195	2.05e-01	7.24e-02	0.0997	-1.7965815	-0.1790382	857.4	TMEM254	transmembrane protein 254
255520	2.05e-01	7.25e-02	0.0922	-1.7958035	-0.1654929	1358.03	ELMOD2	ELMO domain containing 2
200942	2.05e-01	7.26e-02	0.2764	-1.7951712	-0.4962405	91.67	KLHDC8B	kelch domain containing 8B
55161	2.05e-01	7.26e-02	0.0715	1.7951559	0.1282681	2304.7	TMEM33	transmembrane protein 33
9477	2.05e-01	7.26e-02	0.0891	-1.7951343	-0.159918	1296.89	MED20	mediator complex subunit 20
143282	2.05e-01	7.26e-02	0.3081	1.7953844	0.5531622	72.23	FGFBP3	fibroblast growth factor binding protein 3
283871	2.05e-01	7.27e-02	0.0903	1.795013	0.1621361	1131.29	PGP	phosphoglycolate phosphatase
7135	2.06e-01	7.27e-02	0.4439	1.7945262	0.7966555	36.12	TNNI1	troponin I1, slow skeletal type
100289388	2.06e-01	7.29e-02	0.2756	1.7936226	0.4944121	89.38	KCTD21-AS1	KCTD21 antisense RNA 1
6812	2.06e-01	7.29e-02	0.1055	-1.7934069	-0.1892795	785.34	STXBP1	syntaxin binding protein 1
4707	2.06e-01	7.31e-02	0.0983	-1.7924912	-0.1761208	1149.44	NDUFB1	NADH:ubiquinone oxidoreductase subunit B1
23524	2.06e-01	7.31e-02	0.0547	-1.7924518	-0.0980158	21649.31	SRRM2	serine/arginine repetitive matrix 2
83638	2.07e-01	7.32e-02	0.1166	-1.7917995	-0.2089302	613.72	C11orf68	chromosome 11 open reading frame 68
8899	2.07e-01	7.32e-02	0.0656	1.79131	0.1174302	4618.11	PRPF4B	pre-mRNA processing factor 4B
3939	2.07e-01	7.33e-02	0.055	1.7907509	0.098557	11508.8	LDHA	lactate dehydrogenase A
105369149	2.07e-01	7.35e-02	0.3587	-1.7899201	-0.6420343	54.25	LOC105369149	uncharacterized LOC105369149
23184	2.07e-01	7.35e-02	0.0653	1.7895905	0.1169303	4345.69	MESD	mesoderm development LRP chaperone
25983	2.08e-01	7.36e-02	0.0898	1.7893139	0.1606917	1151.78	NGDN	neuroguidin
10899	2.08e-01	7.38e-02	0.0648	1.7878487	0.1157712	3086.42	JTB	jumping translocation breakpoint
100174949	2.08e-01	7.38e-02	0.1162	-1.7876854	-0.2077096	589.85	TRIM59-IFT80	TRIM59-IFT80 protein
4831	2.08e-01	7.38e-02	0.0571	1.7877253	0.1020704	6277.76	NME2	NME/NM23 nucleoside diphosphate kinase 2
306	2.08e-01	7.39e-02	0.1169	1.7874497	0.2088954	638.84	ANXA3	annexin A3
5339	2.08e-01	7.39e-02	0.1842	-1.786986	-0.329129	3391.51	PLEC	plectin
9317	2.08e-01	7.39e-02	0.1184	-1.7869579	-0.2115414	626.59	PTER	phosphotriesterase related
51499	2.08e-01	7.40e-02	0.081	1.7867591	0.1446602	1559.06	TRIAP1	TP53 regulated inhibitor of apoptosis 1
9902	2.08e-01	7.40e-02	0.3101	-1.7866843	-0.5539713	72.54	MRC2	mannose receptor C type 2
8555	2.09e-01	7.41e-02	0.1424	-1.7862044	-0.2544437	358.33	CDC14B	cell division cycle 14B
79739	2.09e-01	7.41e-02	0.2074	-1.7859556	-0.3703858	169.93	TTLL7	tubulin tyrosine ligase like 7
7567	2.09e-01	7.41e-02	0.2162	1.7858061	0.3860769	159.6	ZNF19	zinc finger protein 19
55773	2.09e-01	7.42e-02	0.0847	1.7856343	0.1512703	1553.91	TBC1D23	TBC1 domain family member 23
403341	2.09e-01	7.42e-02	0.0914	-1.7853833	-0.1631818	1126.35	ZBTB34	zinc finger and BTB domain containing 34
7266	2.09e-01	7.42e-02	0.0747	1.78547	0.1333647	1932.41	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7
5026	2.09e-01	7.43e-02	0.4478	1.7849412	0.7993229	34.74	P2RX5	purinergic receptor P2X 5
55827	2.09e-01	7.44e-02	0.087	-1.7838722	-0.1552231	1187.31	DCAF6	DDB1 and CUL4 associated factor 6
9519	2.10e-01	7.46e-02	0.135	1.7827642	0.2406983	459.74	TBPL1	TATA-box binding protein like 1
56886	2.10e-01	7.48e-02	0.0592	1.7814165	0.1053834	6013.5	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1
10634	2.10e-01	7.49e-02	0.2247	-1.7813753	-0.400235	187.1	GAS2L1	growth arrest specific 2 like 1
259266	2.10e-01	7.49e-02	0.0692	-1.7811846	-0.1232417	3500.99	ASPM	assembly factor for spindle microtubules
57599	2.11e-01	7.49e-02	0.0827	-1.7808744	-0.147256	1454.33	WDR48	WD repeat domain 48
105373159	2.11e-01	7.51e-02	0.1749	1.7798165	0.3112753	249.41	RAB4A-AS1	RAB4A antisense RNA 1
285440	2.11e-01	7.50e-02	0.1349	1.7802353	0.2401726	406.5	CYP4V2	cytochrome P450 family 4 subfamily V member 2
9037	2.11e-01	7.51e-02	0.1903	-1.7798948	-0.338742	198.34	SEMA5A	semaphorin 5A
5467	2.11e-01	7.51e-02	0.1335	-1.7799502	-0.2376887	451.89	PPARD	peroxisome proliferator activated receptor delta
1723	2.11e-01	7.51e-02	0.1278	1.7800586	0.2275675	490.99	DHODH	dihydroorotate dehydrogenase (quinone)
65095	2.11e-01	7.51e-02	0.0918	1.7799476	0.1634564	1057.97	KRI1	KRI1 homolog
23256	2.11e-01	7.53e-02	0.0808	1.7787711	0.1436996	1712.16	SCFD1	sec1 family domain containing 1
81502	2.11e-01	7.53e-02	0.0613	1.7786635	0.1090445	3956.21	HM13	histocompatibility minor 13
4513	2.11e-01	7.54e-02	0.0577	1.7782747	0.1025506	128977.84	COX2	cytochrome c oxidase subunit II
1810	2.12e-01	7.54e-02	0.0962	1.7777938	0.1710457	1262.8	DR1	down-regulator of transcription 1
51351	2.12e-01	7.55e-02	0.15	-1.7771223	-0.2664897	326.19	ZNF117	zinc finger protein 117
26227	2.12e-01	7.56e-02	0.0594	-1.7765271	-0.1055003	5646.46	PHGDH	phosphoglycerate dehydrogenase
60	2.12e-01	7.57e-02	0.0568	1.7759583	0.1008683	83741.61	ACTB	actin beta
162681	2.12e-01	7.58e-02	0.1266	-1.7758808	-0.2247955	504.73	C18orf54	chromosome 18 open reading frame 54
8455	2.12e-01	7.58e-02	0.0666	-1.7755892	-0.1182494	2888.18	ATRN	attractin
115	2.12e-01	7.59e-02	0.0751	1.7752082	0.1333841	2106.04	ADCY9	adenylate cyclase 9
23185	2.13e-01	7.59e-02	0.0614	1.7747536	0.1089397	5024.53	LARP4B	La ribonucleoprotein 4B
8888	2.13e-01	7.60e-02	0.0607	-1.7746593	-0.107701	4964.22	MCM3AP	minichromosome maintenance complex component 3 associated protein
79968	2.13e-01	7.60e-02	0.0809	1.7744773	0.1435296	1571.66	WDR76	WD repeat domain 76
6768	2.13e-01	7.61e-02	0.0851	-1.7734967	-0.1509823	1930.82	ST14	ST14 transmembrane serine protease matriptase
60493	2.13e-01	7.62e-02	0.1198	-1.7734227	-0.2124889	574.75	FASTKD5	FAST kinase domains 5
79716	2.13e-01	7.62e-02	0.1102	-1.7734571	-0.1953736	910.72	NPEPL1	aminopeptidase like 1
5433	2.13e-01	7.62e-02	0.0696	1.7730224	0.1233725	2371.57	POLR2D	RNA polymerase II subunit D
9678	2.13e-01	7.63e-02	0.076	1.772606	0.134778	2017.66	PHF14	PHD finger protein 14
64101	2.13e-01	7.63e-02	0.3321	1.7726414	0.5886786	61.33	LRRC4	leucine rich repeat containing 4
51588	2.13e-01	7.63e-02	0.1468	-1.7727595	-0.2603164	357.01	PIAS4	protein inhibitor of activated STAT 4
9531	2.13e-01	7.63e-02	0.0688	1.7722954	0.1218814	3700.63	BAG3	BAG cochaperone 3
9	2.13e-01	7.64e-02	0.175	-1.772037	-0.3101009	248.97	NAT1	N-acetyltransferase 1
57234	2.14e-01	7.65e-02	0.276	-1.7715843	-0.4888837	89.19	LINC00869	long intergenic non-protein coding RNA 869
5270	2.14e-01	7.66e-02	0.4518	1.7706377	0.7999597	33.23	SERPINE2	serpin family E member 2
27304	2.14e-01	7.66e-02	0.0958	1.7706445	0.1697037	984.87	MOCS3	molybdenum cofactor synthesis 3
23397	2.14e-01	7.66e-02	0.077	-1.7704949	-0.1364146	1702.65	NCAPH	non-SMC condensin I complex subunit H
7812	2.14e-01	7.67e-02	0.0512	1.7703782	0.0905602	99406.55	CSDE1	cold shock domain containing E1
2332	2.14e-01	7.67e-02	0.0721	-1.7701707	-0.1276854	3346.19	FMR1	fragile X messenger ribonucleoprotein 1
55255	2.14e-01	7.67e-02	0.0874	1.7698987	0.1547085	1292.59	WDR41	WD repeat domain 41
100533789	2.14e-01	7.68e-02	0.3354	-1.7696222	-0.5934949	62.33	LRRC37A8P	leucine rich repeat containing 37 member A8, pseudogene
9682	2.14e-01	7.68e-02	0.0697	-1.7694363	-0.1233859	2624.96	KDM4A	lysine demethylase 4A
